run;base de treinamento;passos de treinamento;numero da iteracao;treinamento - condiÃ§Ã£o de parada;quantidade de episÃ³dios terminais treino;recompensas treino;valor inicial treino;valor final treino;lucro/prejuÃ­zo treino;base de teste;quantidade de dias;numero da iteracao teste;quantidade de episÃ³dios teste;recompensas teste;valor inicial teste;valor final teste;lucro/prejuÃ­zo teste;quantidade de passos teste;;;
32;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;32;0.8;0;1666301596;10000;9905.7183;-94.2817;consolidado_teste (02.05 a 13.05).csv;7;32;0;28371050.71;10000;9797.755;-202.245;2836;;;
33;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;33;0.8;0;1750986334;10000;10870.5465;870.5465;consolidado_teste (02.05 a 13.05).csv;7;33;0;28360000;10000;10000;0;2836;;;
34;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;34;0.8;0;1759049963;10000;11125.3255;1125.3255;consolidado_teste (02.05 a 13.05).csv;7;34;0;28410461.19;10000;9847.54;-152.46;2836;;;
35;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;35;0.8;0;1865850854;10000;11104.6921;1104.6921;consolidado_teste (02.05 a 13.05).csv;7;35;0;28356531.16;10000;9994.425;-5.575;2836;;;
36;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;36;0.8;0;1704110111;10000;10464.9413;464.9413;consolidado_teste (02.05 a 13.05).csv;7;36;0;28361300.31;10000;10000.69;0.69;2836;;;
37;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;37;0.8;0;1554870448;10000;9408.6238;-591.3762;consolidado_teste (02.05 a 13.05).csv;7;37;0;28390587.05;10000;9838.645;-161.355;2836;;;
38;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;38;0.8;0;1896362318;10000;11926.8445;1926.8445;consolidado_teste (02.05 a 13.05).csv;7;38;0;28356644.72;10000;9998.04;-1.96;2836;;;
39;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;39;0.8;0;1612874769;10000;9942.9953;-57.0047;consolidado_teste (02.05 a 13.05).csv;7;39;0;28390587.05;10000;9838.645;-161.355;2836;;;
40;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;40;0.8;0;1700028830;10000;10381.8599;381.8599;consolidado_teste (02.05 a 13.05).csv;7;40;0;28409508.03;10000;9845.155;-154.845;2836;;;
41;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;41;0.8;0;1654962750;10000;9082.6909;-917.3091;consolidado_teste (02.05 a 13.05).csv;7;41;0;28360000;10000;10000;0;2836;;;
42;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;42;0.8;0;1648103059;10000;8803.2103;-1196.7897;consolidado_teste (02.05 a 13.05).csv;7;42;0;28395659.94;10000;9840.375;-159.625;2836;;;
43;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;43;0.8;0;1691359743;10000;10005.3974;5.3974;consolidado_teste (02.05 a 13.05).csv;7;43;0;28666535.41;10000;10010.185;10.185;2836;;;
44;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;44;0.8;0;1883966170;10000;12418.6161;2418.6161;consolidado_teste (02.05 a 13.05).csv;7;44;0;28360308.41;10000;10000.08;0.08;2836;;;
45;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;45;0.8;0;1676575248;10000;9811.4887;-188.5113;consolidado_teste (02.05 a 13.05).csv;7;45;0;28360000;10000;10000;0;2836;;;
46;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;46;0.8;0;1619255466;10000;10043.9955;43.9955;consolidado_teste (02.05 a 13.05).csv;7;46;0;28361915.81;10000;10000.27;0.27;2836;;;
47;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;47;0.8;0;1583045631;10000;9948.0336;-51.9664;consolidado_teste (02.05 a 13.05).csv;7;47;0;28390587.05;10000;9838.645;-161.355;2836;;;
48;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;48;0.8;0;1812920159;10000;11810.7135;1810.7135;consolidado_teste (02.05 a 13.05).csv;7;48;0;28385952.03;10000;9836.965;-163.035;2836;;;
49;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;49;0.8;0;1643490769;10000;9784.6333;-215.3667;consolidado_teste (02.05 a 13.05).csv;7;49;0;28390587.05;10000;9838.645;-161.355;2836;;;
50;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;50;0.8;0;1824510751;10000;10657.9342;657.9342;consolidado_teste (02.05 a 13.05).csv;7;50;0;28547051.04;10000;9886.35;-113.65;2836;;;
;;;;;;;;;;;média;;;;;;;;média;máximo;mínimo
;;;;;;;;> 0;25;50%;109.320036;;;;;> 0;10;20%;-73.5014;65.155;-202.245
;;;;;;;;= 0;0;0%;;;;;;= 0;10;20%;;;
;;;;;;;;< 0;25;50%;;;;;;< 0;30;60%;;;
